#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
171,Treveon Graham\grahatr01,SG,24,CHO,30,0,17,1.8,4.1,0.447,0.7,1.7,0.44,1.1,2.4,0.452,0.537,0.8,1,0.742,0.7,1.6,2.3,1.1,0.4,0,0.6,1.9,5.2
172,Jerami Grant\grantje01,PF,23,OKC,44,1,20.7,2.7,5.4,0.5,0.3,1.4,0.25,2.4,4,0.584,0.532,1.5,2.2,0.67,1.1,2.7,3.8,0.7,0.5,0.9,0.8,2,7.2
173,Jerian Grant\grantje02,PG,25,CHI,45,15,21.2,2.7,6.5,0.408,0.7,2.4,0.294,2,4.1,0.476,0.463,1.6,2.2,0.713,0.4,1.9,2.2,4.6,0.7,0.1,1.1,1.8,7.6
174,Danny Green\greenda02,SG,30,SAS,35,35,26.5,3.3,7.9,0.415,1.8,4.4,0.4,1.5,3.5,0.434,0.527,0.4,0.6,0.682,0.4,3,3.5,1.7,1.1,1.1,1.3,1.4,8.8
175,Draymond Green\greendr01,PF,27,GSW,39,39,32.3,3.9,8.7,0.454,1.2,3.9,0.305,2.8,4.8,0.574,0.522,2,2.6,0.772,1.2,6.8,7.9,7.6,1.3,1.3,2.7,2.6,11.1
176,Gerald Green\greenge01,SG,32,HOU,10,0,26.7,5.2,11.9,0.437,3.4,8.2,0.415,1.8,3.7,0.486,0.58,1.8,2,0.9,0.5,2.7,3.2,0.9,0.7,0.3,1,2.4,15.6
177,JaMychal Green\greenja01,PF,27,MEM,28,28,26.9,4,8.5,0.468,0.9,2.3,0.397,3.1,6.2,0.494,0.521,1.5,2.1,0.712,2.4,4.6,7,1.3,0.6,0.3,1.6,2.6,10.3
178,Jeff Green\greenje02,PF,31,CLE,43,0,22.6,3.8,7.9,0.479,0.7,2,0.333,3.1,6,0.527,0.521,2.7,3.2,0.868,0.9,2.4,3.4,1.4,0.6,0.3,1,1.9,11
179,Blake Griffin\griffbl01,PF,28,LAC,28,28,34.1,7.5,17.4,0.433,1.8,5.5,0.331,5.7,11.9,0.48,0.486,5.4,6.9,0.792,1.6,6.2,7.8,5.3,0.8,0.3,3.2,2.4,22.3
180,Daniel Hamilton\hamilda02,SG,22,OKC,2,0,4.5,1.5,2.5,0.6,0.5,1,0.5,1,1.5,0.667,0.7,0,0,0,0,0.5,0.5,2,0.5,0,0,0,3.5
181,Tim Hardaway\hardati02,SG,25,NYK,24,21,33.3,6.3,14.9,0.426,2.3,7.4,0.316,4,7.5,0.533,0.504,3,3.7,0.798,0.8,3.4,4.2,3.2,1.2,0.2,1.7,2.1,18
182,James Harden\hardeja01,SG,28,HOU,35,35,36.3,9.5,21.2,0.451,4.1,10.6,0.39,5.4,10.5,0.512,0.549,9.1,10.5,0.867,0.5,4.5,5,9.1,1.8,0.5,4.4,2.7,32.3
183,Maurice Harkless\harklma01,SF,24,POR,37,19,20.5,2.1,4.7,0.445,0.6,1.7,0.339,1.5,3,0.505,0.506,0.6,0.9,0.706,0.7,2.1,2.7,0.7,0.7,0.8,0.8,1.6,5.4
